Ward No,Ward Name ,Current corporator Name,Party,Winner's votes,1st runner up,Party,Votes,Victory margin,Past corporator Name,Party
123,Vijaynagara,Srilatha Gopinathraju,BJP,10748,Binduja G,INC,6170,4578,Sri.H. Raveendra,BJP
124,Hosahalli,R Mahalakshmi,BJP,8992,H B Radhamma,INC,6541,2451,Dr. S. Raju,BJP
125,Marenahalli,Madhukumari Vageesh,BJP,5661,M Geetha,INC,4375,1286,N. Shakuntala,BJP
126,Maruthi Mandira Ward,N Shantha Kumari,BJP,6806,Siddharth C,INC,6686,120,V. Vagish,BJP
127,Moodalapalya,Dase Gowda,BJP,9675,R Prakash,JDS,6342,3333,N. Shantha Kumari,BJP
128,Nagarbhavi,Mohan Kumar,BJP,8062,Nayaz Pasha,INC,7364,698,K. Umesh Shetti,BJP
129,Gnanabharathi Ward,Tejaswini Sitaramaiah,BJP,15113,Kavyashree Manju,INC,11020,4093,Govindaraju,INC
130,Ullalu,Sharada Muniraju,BJP,16051,Rohini Suresh,INC,11223,4828,Rajanna,INC
131,Nayandahalli,M Savitha,INC,7040,Shakunthala Lakkappa,BJP,5830,1210,H.S. Rajajeshwari,BJP
132,Attiguppe,Dr S Raju,BJP,8590,K Doddanna,INC,8068,522,K. Doddanna,INC
133,Hampi Nagar,Anand Hosur,BJP,8931,S Srinath,INC,6203,2728,R. ChandraShekarayya,BJP
134,Bapuji Nagar,Azmal Beig,INC,7639,V Krishna,BJP,6469,1170,V. Krishna,BJP
135,Padarayanapura,Imran Pasha,JDS,8605,"Sayyed Ibrahim Hussein,",Independent,3580,5025,Najini Begum,Independent
136,Jagajeevan Ramnagar,Seema Althaf Khan ,INC,9055,Beebi Jaan,JDS,6530,2525,Seema Kanum,INC
137,Rayapuram,Shashikala Keshav,BJP,5077,G S Dhanalakshmi,JDS,4799,278,C.S. Radhakrishna,JDS
138,Chalavadi Palya,Rekha Kadiresh,BJP,4966,Noori Khanam,JDS,4359,607,Rekha Kadiresh,BJP
139,K.R Market,Nazima Khanam,JDS,5468,Bushra Anjum,INC,2311,3157,G. A. Ashwath Narayana,JDS
